Date,Open,High,Low,Close,Volume
6/27/2013,161.100006,161.820007,160.949997,161.080002,129483700
6/28/2013,160.630005,161.399994,159.860001,160.419998,160402900
7/1/2013,161.259995,162.479996,161.080002,161.360001,131954800
7/2/2013,161.119995,162.300003,160.5,161.210007,154863700
7/3/2013,160.479996,161.770004,160.220001,161.279999,75216400
7/5/2013,162.470001,163.080002,161.300003,163.020004,122416900
7/8/2013,163.860001,164.389999,163.080002,163.949997,108092500
7/9/2013,164.979996,165.330002,164.270004,165.130005,119298000
7/10/2013,164.970001,165.75,164.630005,165.190002,121410100
7/11/2013,167.110001,167.610001,165.179993,167.440002,135592200
7/12/2013,167.389999,167.929993,167.130005,167.509995,104212700
7/15/2013,167.970001,168.389999,167.679993,168.149994,69450600
7/16/2013,168.259995,168.360001,167.070007,167.520004,88702100
7/17/2013,168.160004,168.479996,167.729996,167.949997,92873900
7/18/2013,168.309998,169.270004,168.199997,168.869995,103620100
7/19/2013,168.520004,169.229996,168.309998,169.169998,103831700
7/22/2013,169.410004,169.740005,169.009995,169.5,79428600
7/23/2013,169.800003,169.830002,169.050003,169.139999,80829700
7/24/2013,169.789993,169.860001,168.179993,168.520004,112914000
7/25/2013,168.220001,169.080002,167.940002,168.929993,111088600
7/26/2013,168.220001,169.160004,167.520004,169.110001,107814600
7/29/2013,168.679993,169.059998,168.110001,168.589996,79695000
7/30/2013,169.100006,169.279999,168.190002,168.589996,85209600
7/31/2013,168.940002,169.850006,168.490005,168.710007,142388700
8/1/2013,169.990005,170.809998,169.899994,170.660004,110438400
8/2/2013,170.279999,170.970001,170.050003,170.949997,91116700
8/5/2013,170.570007,170.960007,170.350006,170.699997,54072700
8/6/2013,170.369995,170.740005,169.350006,169.729996,87495000
8/7/2013,169.190002,169.429993,168.550003,169.179993,84854700
8/8/2013,169.979996,170.179993,168.929993,169.800003,102181300
8/9/2013,169.580002,170.100006,168.720001,169.309998,91757700
8/12/2013,168.460007,169.309998,168.380005,169.110001,68593300
8/13/2013,169.410004,169.899994,168.410004,169.610001,80806000
8/14/2013,169.529999,169.800003,168.699997,168.740005,79829200
8/15/2013,167.410004,167.429993,166.089996,166.380005,152931800
8/16/2013,166.059998,166.630005,165.5,165.830002,130868200
8/19/2013,165.639999,166.210007,164.759995,164.770004,96437600
8/20/2013,165.039993,166.199997,164.860001,165.580002,89294400
8/21/2013,165.119995,166.029999,164.190002,164.559998,159530500
8/22/2013,164.899994,166.300003,164.889999,166.059998,101471400
8/23/2013,166.550003,166.830002,165.770004,166.619995,90888900
8/26/2013,166.789993,167.300003,165.889999,166,89702100
8/27/2013,164.360001,166,163.210007,163.330002,158619400
8/28/2013,163.259995,164.490005,163.050003,163.910004,108113000
8/29/2013,163.550003,165.039993,163.399994,164.169998,119200500
8/30/2013,164.509995,164.529999,163.169998,163.649994,134928900
9/3/2013,165.229996,165.580002,163.699997,164.389999,142375100
9/4/2013,164.429993,166.029999,164.130005,165.75,97389400
9/5/2013,165.850006,166.399994,165.729996,165.960007,63090500
9/6/2013,166.509995,166.979996,164.479996,166.039993,159756500
9/9/2013,166.449997,167.729996,166.449997,167.630005,87559300
9/10/2013,168.639999,168.899994,168.259995,168.869995,105847200
9/11/2013,168.639999,169.399994,168.350006,169.399994,94545900
9/12/2013,169.339996,169.559998,168.720001,168.949997,83209000
9/13/2013,169.130005,169.460007,168.740005,169.330002,72727800
9/16/2013,171.160004,171.240005,170.039993,170.309998,106299200
9/17/2013,170.460007,171.110001,170.460007,171.070007,82523300
9/18/2013,171.009995,173.520004,170.580002,173.050003,203460600
9/19/2013,173.520004,173.600006,172.589996,172.759995,146616900
9/20/2013,172.330002,172.330002,170.580002,170.720001,132867100
9/23/2013,170.490005,170.649994,169.389999,169.929993,104616500
9/24/2013,169.899994,170.529999,169.210007,169.529999,106333100
9/25/2013,169.639999,169.979996,168.889999,169.039993,117306500
9/26/2013,169.320007,170.169998,169.050003,169.690002,77146900
9/27/2013,168.839996,169.139999,168.470001,168.910004,99141800
9/30/2013,167.479996,168.539993,167.149994,168.009995,143937000
10/1/2013,168.139999,169.5,167.970001,169.339996,127160000
10/2/2013,168.350006,169.339996,167.830002,169.179993,113350000
10/3/2013,168.789993,168.940002,166.839996,167.619995,176698000
10/4/2013,167.75,169.059998,167.529999,168.889999,96878000
10/7/2013,167.419998,168.449997,167.25,167.429993,96295000
10/8/2013,167.399994,167.619995,165.360001,165.479996,178015000
